week,category,weekly_rank,show_title,weekly_hours_viewed,cumulative_weeks_in_top_10
16/01/2022,Films (English),1,Brazen,45340000,1
16/01/2022,Films (English),2,Don't Look Up,28390000,4
16/01/2022,Films (English),3,Mother/Android,23170000,2
16/01/2022,Films (English),4,The Secret Life of Pets 2,9390000,1
16/01/2022,Films (English),5,Just Go With It,8790000,3
16/01/2022,Films (English),6,Red Notice,8710000,10
16/01/2022,Films (English),7,Back to the Outback,8710000,6
16/01/2022,Films (English),8,Tides,8470000,1
16/01/2022,Films (English),9,Riverdance: The Animated Adventure,7860000,1
16/01/2022,Films (English),10,The Clovehitch Killer,7000000,1
16/01/2022,Films (Non-English),1,How I Fell in Love with a Gangster,11510000,2
16/01/2022,Films (Non-English),2,Four to Dinner,4750000,2
16/01/2022,Films (Non-English),3,The Wasteland,4640000,2
16/01/2022,Films (Non-English),4,Chandigarh Kare Aashiqui,4610000,2
16/01/2022,Films (Non-English),5,Photocopier,4440000,1
16/01/2022,Films (Non-English),6,Major Grom: Plague Doctor,3120000,6
16/01/2022,Films (Non-English),7,Minnal Murali,2510000,4
16/01/2022,Films (Non-English),8,Vicky and Her Mystery,2070000,4
16/01/2022,Films (Non-English),9,Lulli,2000000,3
16/01/2022,Films (Non-English),10,Sin Nombre,1830000,2
16/01/2022,TV (English),1,Stay Close,53720000,3
16/01/2022,TV (English),2,Cobra Kai,41240000,3
16/01/2022,TV (English),3,The Witcher,34350000,5
16/01/2022,TV (English),4,Emily in Paris,30020000,4
16/01/2022,TV (English),5,Cheer,29080000,1
16/01/2022,TV (English),6,Manifest,28120000,8
16/01/2022,TV (English),7,Archive 81,22220000,1
16/01/2022,TV (English),8,The Witcher,18580000,6
16/01/2022,TV (English),9,Manifest,14810000,3
16/01/2022,TV (English),10,Cobra Kai,13950000,2
16/01/2022,TV (Non-English),1,Café con aroma de mujer,98850000,3
16/01/2022,TV (Non-English),2,The Queen of Flow,24210000,9
16/01/2022,TV (Non-English),3,Rebelde,23880000,2
16/01/2022,TV (Non-English),4,Single’s Inferno,19250000,3
16/01/2022,TV (Non-English),5,Our Beloved Summer,18710000,4
16/01/2022,TV (Non-English),6,Undercover,16830000,1
16/01/2022,TV (Non-English),7,Money Heist,13000000,13
16/01/2022,TV (Non-English),8,Undercover,12070000,1
16/01/2022,TV (Non-English),9,Carinha de Anjo,11860000,13
16/01/2022,TV (Non-English),10,Squid Game,11780000,18
09/01/2022,Films (English),1,Don't Look Up,58200000,3
09/01/2022,Films (English),2,Mother/Android,29730000,1
09/01/2022,Films (English),3,The Lost Daughter,20370000,2
